Departamento,Iniciales,Base de Coca,Basuco,Cocaina,Heroina,Marihuana
AMAZONAS,AMA,205,64,32411,0,151000
ANTIOQUIA,ANT,1632524,235236,18645462,3943,10522589
ARAUCA,ARA,573,1788,1363,115,11764
ATLANTICO,ATL,129906,61831,3861119,2089,256489
BOLIVAR,BOL,2225538,22346,11620026,506,1744209
BOYACA,BOY,62431,5998,114788,9,214985
CALDAS,CAL,21636,47370,6681,6,432819
CAQUETA,CAQ,2864757,13055,179667,0,166397
CASANARE,CAS,2988,2814,32486,0,296391
CAUCA,CAU,3266892,46511,223139,361,5365958
CESAR,CES,33673,8553,152274,113,4643786
CHOCO,CHO,764675,957,4144382,0,8488
CORDOBA,COR,135029,13026,443103,0,90392
CUNDINAMARCA,CUN,154401,452370,4034422,13506,4935487
GUAINIA,GUAI,151,24,9,0,772
GUAJIRA,GUAJ,2764,3051,9973408,0,3308770
GUAVIARE,GUAV,1438591,1508,972,0,39889
HUILA,HUI,145967,10558,11771,0,2046795
MAGDALENA,MAG,10331,6327,3294342,0,8675737
META,MET,539183,28282,568470,8,2727157
NARINO,NAR,439257,59649,57287686,28892,295294
NORTE DE SANTANDER,NOR,754931,3317,763831,6033,3109434
PUTUMAYO,PUT,2469926,7842,233972,0,48023
QUINDIO,QUI,13713,19010,286916,1012,860493
RISARALDA,RIS,16877,21477,47073,13645,9196066
SAN ANDRES,SAN,0,56,341727,0,173317
SANTANDER,SANT,260327,77363,29858,324,2358473
SUCRE,SUC,15166,7819,1922556,0,38717
TOLIMA,TOL,8023,34162,8998,1138,2147291
VALLE,VAL,713373,247868,10486323,20250,15595833
VAUPES,VAU,92,238,64,0,3419
VICHADA,VIC,67319,570,956,0,133363
